Data Source Name,File Name,File Path,File Type,Step Name,DD Name,DISP,Program Name,Logical Name,Copybook Record Name,Copybook File Path,Access Type,System Program,Data Source Type
LEGACY.BILLING.CUSTOMER,BILL01.jcl,jcl/BILL01.jcl,JCL,STEP01,CUSTOMER,SHR,BILLING,,,,,No,Dataset
LEGACY.BILLING.CUSTOMER,BILLING.cbl,BILLING.cbl,COBOL,,CUSTOMER,,,,,,,,Dataset
LEGACY.BILLING.INVOICE,BILL01.jcl,jcl/BILL01.jcl,JCL,STEP01,INVOICE,OLD,BILLING,,,,,No,Dataset
LEGACY.BILLING.INVOICE,BILLING.cbl,BILLING.cbl,COBOL,,INVOICE,,,,,,,,Dataset
LEGACY.BILLING.USAGE,BILL01.jcl,jcl/BILL01.jcl,JCL,STEP01,USAGEIN,SHR,BILLING,,,,,No,Dataset
LEGACY.BILLING.USAGE,BILLING.cbl,BILLING.cbl,COBOL,,USAGEIN,,,,,,,,Dataset
